"Reference","Value","Footprint","Qty","Description","Mfr","PN"
"C2,C4,C7,C8,C9,C10,C12,C14,C17,C18,C30,C32,C35,C36,C37,C38,C40,C42,C45,C46,C47,C48,C50,C52,C55,C56,C57,C58,C60,C62,C65,C66,C67,C68,C70,C72,C75,C76,C77,C78,C80,C82,C85,C86,C87,C88,C90,C92,C95,C96,C97,C98,C100,C102,C105,C106,C107,C108","22u","BCRL_power_supply:CAPC2012X145N","58","22 uF 25V ","Murata","GRM21BR61E226ME44L"
"C5,C6,C15,C16,C33,C34,C43,C44,C53,C54,C63,C64,C73,C74,C83,C84,C93,C94,C103,C104","0.01u","BCRL_power_supply:CAPC1608X90N","20","0.01 uF 25V","Murata","GRM1885C1E103JA01D"
"C21,C22","10uF/50V","BCRL_power_supply:CAPPM7344X310N","2","Tantalum Capacitor","KYOCERA AVX","TAJD106M050RNJ"
"C25","100uF/50V","BCRL_power_supply:CAPAE1000X1050N","1","Aluminum Electrolytic Capacitors","Vishay","MAL214699103E3"
"D1,D2,D3,D4,D6,D7,D8,D9,D10,D11,D12,D13","Green","BCRL_power_supply:LEDC1608X80N","12","LED green 20mA Vf=2V","Wurth Elektronik","150060VS75000"
"D5","Red","BCRL_power_supply:LEDC1608X80N","1","LED red 20mA Vf=2V","Wurth Elektronik","150060RS75000"
"F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F43,F44,F48,F49,F50,F51,F53,F54,F55","1.5A","BCRL_power_supply:ERBRE0R50V","49","SMD Fuse 0603","Panasonic","ERB-RE1R50V"
"F41,F42,F45,F46,F47","0.5A","BCRL_power_supply:ERBRE0R50V","5","SMD Fuse 0603","Panasonic","ERB-RE0R50V"
"FB1,FB2,FB3,FB4,FB5,FB7,FB8,FB9,FB10,FB11,FB12,FB13,FB14,FB15,FB16,FB18,FB20,FB21,FB22,FB23,FB24,FB25,FB26,FB28,FB30,FB31,FB32,FB33,FB34,FB35,FB36,FB38,FB40,FB41,FB42,FB43,FB44,FB45,FB46,FB48,FB50,FB51,FB52,FB53,FB54,FB55,FB56,FB57,FB58,FB59,FB60,FB61,FB62,FB63,FB64,FB65,FB66,FB67,FB68,FB69,FB70,FB71,FB72,FB73,FB74,FB75,FB76,FB77,FB78,FB79,FB80,FB81,FB82,FB83,FB84,FB85,FB86,FB87,FB88,FB89,FB90,FB91,FB92,FB93,FB94,FB95,FB96,FB97,FB98,FB99,FB100,FB101,FB102,FB103","FerriteBead","BCRL_power_supply:BEADC1005X55N","94","Ferrite bead 9 mOhm 6A","TDK","MAF1005PAD120CT000"
"J1,J6,J9,J26,J27,J30,J31,J42,J43,J50,J51,J56,J57,J58,J59,J66,J67,J74,J75,J78,J79,J80,J81","PS Out Screw Term","BCRL_power_supply:CONN_OSTVN02A150_OST","23","2 Screw Terminal","On Shore Technology Inc.","OSTVN02A150"
